통화명,매매기준율,현찰,현찰,송금,송금,미화환산율
통화명,매매기준율,사실 때,파실 때,보내실 때,받으실 때,미화환산율
콜롬비아 COP,0.35,,,,,0.0
탄자니아 TZS,0.54,,,,,0.0
네팔 NPR,10.56,,,,,0.007
루마니아 RON,318.72,,,322.22,315.22,0.221
리비아 LYD,297.9,,,300.87,294.93,0.207
마카오 MOP,179.94,,,,,0.125
미얀마 MMK,0.69,,,,,0.001
에티오피아 ETB,10.93,,,,,0.008
우즈베키스탄 UZS,0.11,,,,,0.0
캄보디아 KHR,0.36,,,,,0.0
피지 FJD,622.38,,,,,0.432
미국 USD,1440.7,1465.91,1415.49,1454.8,1426.6,1.0
유럽연합 EUR,1586.86,1618.43,1555.29,1602.72,1571.0,1.102
일본 JPY (100엔),985.87,1003.12,968.62,995.53,976.21,0.684
중국 CNY,198.77,208.7,188.84,200.75,196.79,0.138
홍콩 HKD,185.33,188.98,181.68,187.18,183.48,0.129
대만 TWD,43.73,49.45,39.36,,,0.03
영국 GBP,1876.3,1913.26,1839.34,1895.06,1857.54,1.302
오만 OMR,3742.47,4004.44,3480.5,,,2.598
캐나다 CAD,1018.23,1038.28,998.18,1028.41,1008.05,0.707
스위스 CHF,1684.34,1717.52,1651.16,1701.18,1667.5,1.169
스웨덴 SEK,145.34,150.13,137.06,146.79,143.89,0.101
호주 AUD,895.32,912.95,877.69,904.27,886.37,0.621
뉴질랜드 NZD,819.69,835.83,803.55,827.88,811.5,0.569
체코 CZK,63.11,68.47,57.44,63.8,62.42,0.044
칠레 CLP,1.52,1.67,1.37,,,0.001
튀르키예 TRY,37.9,,,38.31,37.49,0.026
몽골 MNT,0.41,,,,,0.0
이스라엘 ILS,388.28,427.1,357.22,,,0.27
덴마크 DKK,212.66,219.67,200.54,214.78,210.54,0.148
노르웨이 NOK,137.12,141.64,129.31,138.49,135.75,0.095
사우디아라비아 SAR,384.01,408.2,357.52,387.85,380.17,0.267
쿠웨이트 KWD,4681.25,4985.53,4306.75,4728.06,4634.44,3.249
바레인 BHD,3821.79,4066.38,3516.05,3860.0,3783.58,2.653
아랍에미리트 AED,392.24,413.81,365.18,396.16,388.32,0.272
요르단 JOD,2032.02,2212.86,1869.46,,,1.41
이집트 EGP,28.48,,,,,0.02
태국 THB,42.13,44.23,39.61,42.55,41.71,0.029
싱가포르 SGD,1078.89,1100.35,1057.43,1089.67,1068.11,0.749
말레이시아 MYR,325.03,349.08,300.98,,321.78,0.226
인도네시아 IDR 100,8.7,9.57,7.83,8.78,8.62,0.006
카타르 QAR,395.23,,,,,0.274
카자흐스탄 KZT,2.85,,,,,0.002
브루나이 BND,1078.89,1122.04,1014.16,,,0.749
인도 INR,16.9,,,17.09,16.71,0.012
파키스탄 PKR,5.14,,,,,0.004
방글라데시 BDT,11.86,,,,,0.008
필리핀 PHP,25.36,27.89,23.29,25.61,25.11,0.018
멕시코 MXN,71.7,79.22,64.18,72.41,70.99,0.05
브라질 BRL,255.78,281.86,230.21,,252.72,0.178
베트남 VND 100,5.59,6.24,4.94,5.64,5.54,0.004
남아프리카 공화국 ZAR,75.46,81.49,69.43,76.36,74.56,0.052
러시아 RUB,17.1,18.72,14.11,17.69,16.51,0.012
헝가리 HUF,3.92,4.28,3.61,3.96,3.88,0.003
폴란드 PLN,374.44,404.39,344.49,378.55,370.33,0.26
스리랑카 LKR,4.86,,,,,0.003
알제리 DZD,10.81,,,,,0.008
케냐 KES,11.15,,,,,0.008
콜롬비아 COP,0.35,,,,,0.0
탄자니아 TZS,0.54,,,,,0.0
네팔 NPR,10.56,,,,,0.007
루마니아 RON,318.72,,,322.22,315.22,0.221
리비아 LYD,297.9,,,300.87,294.93,0.207
마카오 MOP,179.94,,,,,0.125
미얀마 MMK,0.69,,,,,0.001
에티오피아 ETB,10.93,,,,,0.008
우즈베키스탄 UZS,0.11,,,,,0.0
캄보디아 KHR,0.36,,,,,0.0
피지 FJD,622.38,,,,,0.432
